id,name,category,label,lat,lng,address,instagram,stroke,note,tags,visible,reel_url,reel_title,reel_cover,featured
xiahai,霞海城隍廟,view,廟,25.05574,121.51022,台北市大同區迪化街一段61號,,17,來大稻埕先打個招呼。香火、人聲、紅磚騎樓，老街的節奏一下就進來了。,"拜一下,老街氣味",TRUE,https://www.instagram.com/reel/DXQdQhAzqkE/,,,TRUE
huitong,惠通行,home,惠,25.05873,121.50952,台北市大同區迪化街一段175號,huitong.1929,12,我的基地。想知道今天迪化街怎麼逛，先來這裡問老闆。,"老闆在這,南北貨,Reels",TRUE,https://www.instagram.com/reel/DW3dbjKTyzC/,,,TRUE
carp,鯉魚 The Carp,food,鯉,25.05876,121.50952,台北市大同區迪化街一段177號,thecarp169,18,把南北貨食材變成台菜料理，想坐下來好好吃一餐可以來這裡。,"台菜,烏魚子",TRUE
lilysun,李日勝,gift,李,25.059444,121.50953,台北市大同區迪化街一段203號,leerihsheng1986,7,烏魚子老店，貨架和包裝都很有迪化街的硬派美感。,"烏魚子,老派好貨",TRUE,https://www.instagram.com/p/DUmpYMhErok/,,,TRUE
lelabo,LE LABO,craft,L,25.059344,121.50952,台北市大同區迪化街一段199號,,0,走進老街屋裡的香氛實驗室，適合慢慢試香、挑一個屬於大稻埕的氣味。,"香氛,老屋",TRUE
fullmountain,富自山中,gift,富,25.059453,121.509411,台北市大同區迪化街一段220號,fullmountain,12,果乾、山產、店面細節都好拍。適合邊逛邊買一包路上吃。,"果乾,邊走邊吃",TRUE,https://www.instagram.com/p/DUmpYMhErok/,,,TRUE
hoshing1947,合興壹玖肆柒,gift,合,25.05956,121.50943,台北市大同區迪化街一段223號,,6,老字號漢餅與甜點，適合買一盒把大稻埕的甜味帶走。,"漢餅,甜點",TRUE
dachun,大春煉皂,craft,大,25.059002,121.50946,台北市大同區迪化街一段190號,dachuns1923,3,香氣很有記憶點，從南北貨轉到生活選物，畫面會突然變得很乾淨。,"香皂,生活感",TRUE
mac,M.A.C 大稻埕旗艦店,craft,M,25.057407,121.50972,台北市大同區迪化街一段121號,,0,彩妝品牌進駐百年宅邸，復古建築和前衛美妝放在一起很有反差。,"彩妝,百年宅邸",TRUE
leecake,李亭香,gift,李,25.062119,121.50928,台北市大同區迪化街一段309號,leecake_1895,7,糕餅香是大稻埕的另一種老派浪漫。買一盒回去，故事就帶走了。,"糕餅,帶故事回家",TRUE,https://www.instagram.com/p/DUmpYMhErok/,,,TRUE
chiang,江記華隆,gift,江,25.06216,121.50928,台北市大同區迪化街一段311號,,6,經典肉紙與肉乾名店，年節送禮或自己買回家都很可以。,"肉紙,肉乾",TRUE
wagashi,滋養製菓,gift,滋,25.06037,121.5094,台北市大同區迪化街一段247號,lins.wagashi,12,日式和菓子老店，草莓大福、最中都很適合當作甜甜的伴手禮。,"和菓子,草莓大福",TRUE
nature,Vin Nature 45 自然埕,bar,酒,25.06058,121.50975,台北市大同區涼州街45號,vin.nature45,6,自然酒小酒吧，適合把腳步放慢。不是趕景點，是來大稻埕坐一下。,"自然酒,微醺,私房點",TRUE
comotu,Como Tú,bar,C,25.06072,121.50937,台北市大同區迪化街一段259號1樓,como_tu259,0,藏在迪化街上的跑吧口袋名單，適合把夜晚留給一杯酒。,"酒吧,夜晚",TRUE
zou,奏 ZOU Listening Bar,bar,奏,25.06235,121.50922,台北市大同區迪化街一段322號,,9,聽音樂、喝一杯，適合把夜晚留給聲音和酒。,"Listening Bar,音樂",TRUE
faqin,發琴吧,bar,發,25.0561,121.50986,台北市大同區迪化街一段76號,ginspirationbar,12,迪化街上的小酒吧，適合散步後把速度慢下來。,"酒吧,夜晚",TRUE
pier,大稻埕碼頭,view,河,25.056511,121.507419,台北市大同區民生西路底五號水門,,3,傍晚去就對了。風、夕陽、河邊人潮，拿來收尾很漂亮。,"夕陽,貨櫃市集",TRUE,https://www.instagram.com/reel/DXThgbEEWGP/,,,TRUE
tenhouses,迪化街十連棟,view,十,25.062802,121.50919,台北市大同區迪化街一段362號,,2,紅磚連棟街屋很有畫面，是北段散步時很適合停下來拍的景點。,"紅磚,街屋",TRUE
dadaochengpark,大稻埕公園,view,園,25.06079,121.51025,台北市大同區歸綏街241號隔壁,,3,藏在老街旁的小公園，適合散步途中休息一下，也能感覺大稻埕的日常。,"公園,散步",TRUE
modernmode,Modern Mode & Modern Mode Café,food,M,25.06124,121.50932,台北市大同區迪化街一段278號,modern_mode2001,0,老屋裡的餐飲與生活風格空間，肚子餓又想坐久一點可以來。,"老屋,餐食",TRUE
directortofu,導演的豆花店,food,導,25.05972,121.50872,台北市大同區迪化街一段224巷24號,director_douhua,16,巷弄裡的豆花店，適合散步中間插入一碗甜的。,"豆花,巷弄",TRUE
grandpang,老阿伯胖魷焿,food,魷,25.05962,121.5094,台北市大同區迪化街一段226號,,6,一碗胖魷焿配油蔥飯，是很大稻埕的古早味午餐。,"魷魚焿,油蔥飯",TRUE
okogreen,生態綠咖啡 OKO cafe,cafe,生,25.05862,121.50956,台北市大同區迪化街一段167號,,5,公平貿易咖啡品牌，適合跑咖時停下來喝一杯。,"咖啡,公平貿易",TRUE
wooo,窩窩 Wooo,cafe,窩,25.05704,121.50848,台北市大同區民生西路404號,wooo.acs,14,老宅裡的港式咖啡與餐食，靠近碼頭，適合把下午留給復古窗花。,"老宅,港式",TRUE
twatutia,TWATUTIA Coffee & Co.,cafe,T,25.05341,121.50927,台北市大同區南京西路279號,twatutia,0,大稻埕台語音譯的咖啡店，老宅裡喝咖啡，樓上還能逛選物。,"咖啡,老宅",TRUE
watsons,屈臣氏大藥房,view,屈,25.0546552,121.5099947,台北市大同區迪化街一段34號,,8,百年巴洛克洋樓，也是大稻埕很有代表性的歷史建築。,"百年建築,巴洛克",TRUE
jomalone,Jo Malone London,craft,J,25.0536656,121.5100757,台北市大同區南京西路251號,,0,英倫香氛走進百年古宅，適合從迪化街入口開始聞一點優雅。,"香氛,古宅",TRUE
designlife,A Design&Life Project,craft,A,25.05341,121.50927,台北市大同區南京西路279號,designandlife,0,老屋裡的生活選物空間，從器皿、配件到日常美感都能慢慢看。,"選物,生活風格",TRUE
olympus,OLYMPUS PLAZA TAIPEI 大稻埕旗艦店,craft,O,25.05786,121.50954,台北市大同區迪化街一段142號,olympus.plaza.tpe,0,相機品牌旗艦店，適合把大稻埕散步和影像感放在一起。,"相機,影像",TRUE
adidas,adidas Originals 大稻埕,craft,愛,25.054744,121.51002,台北市大同區迪化街一段36號,,13,三葉草走進老街，店面細節把運動潮流和大稻埕元素混得很有記憶點。,"潮流,三葉草",TRUE
